Musly MIREX similarity matrix (Version: 0.2), Method: timbre
1	./DragonForce-Our Final Stand.mp3
2	./DragonForce-Judgement Day.mp3
3	./07 Mozart_ Horn Concerto No.1 In D, K412 _514 - 1. Allegro.m4a
4	./DragonForce-Reaching Into Infinity.mp3
5	./08 Mozart_ Horn Concerto No.1 In D, K412 _514 - 2. Rondo. Allegro.m4a
6	./04 Mozart_ Horn Concerto No.2 In E Flat, K417 - 1. Allegro Maestoso.m4a
7	./Heart of the Storm.mp3
8	./Power of the Ninja Sword.mp3
9	./DragonForce-Astral Empire.mp3
10	./01 Mozart_ Horn Concerto No.3 In E Flat, K447 - 1. Allegro.m4a
11	./DragonForce-Curse Of Darkness.mp3
12	./Last Man Stands.mp3
13	./DragonForce-Hatred And Revenge (Bonus Track).mp3
14	./10 Mozart_ Horn Concerto No.4 In E Flat, K495 - 2. Romanza. Andante.m4a
15	./DragonForce-Midnight Madness.mp3
16	./02 Mozart_ Horn Concerto No.3 In E Flat, K447 - 2. Romance. Larghetto.m4a
17	./05 Mozart_ Horn Concerto No.2 In E Flat, K417 - 2. Andante.m4a
18	./DragonForce-Ashes Of The Dawn.mp3
19	./06 Mozart_ Horn Concerto No.2 In E Flat, K417 - 3. Rondo.m4a
20	./11 Mozart_ Horn Concerto No.4 In E Flat, K495 - 3. Rondo. Allegro Vivace.m4a
21	./Die by the Sword.mp3
22	./Dragonforce - Trail of Broken Hearts.mp3
23	./DragonForce - Storming the Burning Fields.mp3
24	./Avant La Tempête.mp3
25	./Dragonforce - Cry for Eternity.mp3
26	./DragonForce-Silence.mp3
27	./Dragonforce - The Flame of Youth.mp3
28	./09 Mozart_ Horn Concerto No.4 In E Flat, K495 - 1. Allegro Moderato.m4a
29	./DragonForce-The Edge Of The World.mp3
30	./Give Me the Night.mp3
31	./Seasons (Acoustic).mp3
32	./Fallen World.mp3
33	./DragonForce-Evil Dead (Bonus Track).mp3
34	./Body Breakdown.mp3
35	./Heart of the Storm (Alternative).mp3
36	./03 Mozart_ Horn Concerto No.3 In E Flat, K447 - 3 In E Flat, K447 - 3. Allegro.m4a
37	./DragonForce-War!.mp3
38	./DragonForce-Land Of Shattered Dreams.mp3
Q/R	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
1	0	0.246273	0.958372	0.64058	0.938364	0.970049	0.476038	0.532991	0.254683	0.981676	0.310676	0.68817	0.272167	0.978302	0.506952	0.983974	0.987502	0.280724	0.953714	0.962075	0.708584	0.894248	0.599184	0.9699	0.681831	0.567974	0.757072	0.967384	0.441731	0.458922	0.954296	0.428999	0.412066	0.629106	0.513948	0.964087	0.418023	0.390452
2	0.246273	0	0.964932	0.731725	0.954609	0.971028	0.459818	0.445325	0.245906	0.984445	0.318079	0.629485	0.229949	0.976856	0.499826	0.985797	0.98908	0.272153	0.958024	0.968041	0.67667	0.924082	0.571597	0.971889	0.649943	0.580032	0.697067	0.97346	0.456599	0.429711	0.962367	0.382843	0.343728	0.565881	0.476696	0.967782	0.287899	0.339479
3	0.958372	0.964932	0	0.891862	0.336844	0.163855	0.947268	0.953934	0.96256	0.187177	0.945908	0.921124	0.967549	0.221585	0.943637	0.272166	0.420428	0.945553	0.174436	0.109636	0.974326	0.863904	0.942879	0.822146	0.951771	0.928166	0.898143	0.277049	0.971718	0.954036	0.823279	0.951649	0.972743	0.936235	0.949994	0.202515	0.948526	0.959997
4	0.64058	0.731725	0.891862	0	0.784834	0.930994	0.776858	0.788484	0.786106	0.965825	0.723953	0.761299	0.732829	0.954984	0.780393	0.966475	0.972219	0.679972	0.894274	0.894509	0.875683	0.783285	0.732248	0.888864	0.765295	0.751249	0.80564	0.903049	0.579346	0.786669	0.889872	0.783802	0.827892	0.764498	0.783021	0.898754	0.704841	0.798169
5	0.938364	0.954609	0.336844	0.784834	0	0.691777	0.926761	0.922339	0.955798	0.673008	0.935247	0.872351	0.968089	0.643289	0.931497	0.467643	0.54021	0.928593	0.620512	0.43521	0.960487	0.779996	0.931399	0.639883	0.949718	0.884352	0.927083	0.2677	0.955995	0.932078	0.69689	0.924106	0.97759	0.930602	0.932373	0.487245	0.937449	0.946467
6	0.970049	0.971028	0.163855	0.930994	0.691777	0	0.954888	0.968707	0.971033	0.133161	0.958008	0.957743	0.970511	0.205205	0.964338	0.297199	0.584864	0.964207	0.137933	0.148291	0.981212	0.927709	0.954499	0.89074	0.96278	0.952675	0.919228	0.362998	0.973235	0.96225	0.873997	0.964602	0.970885	0.956908	0.957212	0.171824	0.954555	0.967759
7	0.476038	0.459818	0.947268	0.776858	0.926761	0.954888	0	0.252371	0.407214	0.974531	0.361622	0.321537	0.430338	0.961999	0.470263	0.976302	0.982404	0.384254	0.927735	0.940834	0.489555	0.775196	0.616687	0.927148	0.646173	0.465712	0.620251	0.938939	0.671726	0.225244	0.845509	0.191644	0.558387	0.589673	0.0454214	0.942341	0.496134	0.409986
8	0.532991	0.445325	0.953934	0.788484	0.922339	0.968707	0.252371	0	0.44811	0.981016	0.444245	0.287468	0.473373	0.972927	0.429977	0.979883	0.986465	0.425476	0.947135	0.950914	0.355987	0.802621	0.632784	0.927507	0.690854	0.468606	0.691383	0.950612	0.648918	0.179943	0.843301	0.228159	0.541556	0.599032	0.221545	0.95503	0.514987	0.423898
9	0.254683	0.245906	0.96256	0.786106	0.955798	0.971033	0.407214	0.44811	0	0.981376	0.220881	0.587499	0.269615	0.978763	0.454657	0.98485	0.987745	0.215973	0.959979	0.965138	0.675475	0.895106	0.533004	0.971677	0.620896	0.518189	0.697582	0.96829	0.5887	0.406479	0.946268	0.348077	0.384294	0.53601	0.438279	0.970153	0.382473	0.322419
10	0.981676	0.984445	0.187177	0.965825	0.673008	0.133161	0.974531	0.981016	0.981376	0	0.975688	0.969197	0.984688	0.188175	0.980598	0.167529	0.442854	0.98109	0.221565	0.165239	0.988561	0.934622	0.97205	0.885646	0.972898	0.976277	0.95808	0.356603	0.98691	0.977082	0.908706	0.977547	0.986555	0.973924	0.976725	0.187991	0.975465	0.981643
